OGD_STAT_AUTHORITY.STAT_AUTH_SEQ,OGD_STAT_AUTHORITY.STAT_AUTH_CODE,OGD_STAT_AUTHORITY.STAT_AUTH_DESCRIPTION,
"2968168","147","Safe Drinking Water Act: Sec. 1412(b)(12)(A)"
"2968169","148","Supplemental Appropriations Act of 1997 (PL 105-18)"
"2968170","149","Appropriations Act of 1999 (PL 105-276)"
"2968171","15","National Aeronautics and Space Act of 1958 (42 U.S.C. Sec. 2451 et seq.)"
"2968172","150","Safe Drinking Water Act: Sec. 130 Amended 1996 (PL 104-182)"
"2968173","151","Clean Water Act: Sec. 104(b)(2)"
"2968174","152","Disaster Relief & Emergency Assistance Act 1988"
"2968175","153","Appropriations Act of 2000 (PL 106-74)"
"2968176","154","Clean Water Act: Sec. 104(b)(3)"
"2968177","155","Safe Drinking Water Act: Sec. 1443(d)"
"2968178","156","Toxic Substances Control Act: Sec. 26(a)"
"2968179","157","Safe Drinking Water Act; Sec. 1419(d) Amended 1996 (PL 104-182)"
"2968180","158","Clean Water Act: Sec. 205(j)(2)"
"2968181","159","Clean Water Act: Sec. 117(d)"
"2968182","16","42 U.S.C. 231"
"2968183","160","CERCLA (PL 96-510) & SARA (PL 99-499)"
"2968184","161","Appropriations Act of 2001 (PL 106-377)"
"2968185","162","Water Resources Development Act: TITLE IV: Sec. 405 as amended"
"2968186","163","Clean Water Act: Sec. 406"
"2968187","164","DENALI COMMISSION ACT 1998; Sec. 305(a)"
"2968188","165","Water Quality Act of 1987 (PL 100-4)"
"2968189","166","Appropriations Act of 2002 (PL 107-73)"
"2968190","167","Supplemental Appropriations Act of 2002 (PL 107-117)"
"2968191","169","Safe Drinking Water Act: Sec. 1433(a)(b)(e) as amended by PL 107-188"
"2968192","170","Safe Drinking Water Act: Sec. 1434 as amended by PL 107-188"
"2968193","171","Safe Drinking Water Act: Sec. 1442(c)(3)"
"2968194","172","Safe Drinking Water Act: Sec. 1442(b)"
"2968195","173","CERCLA: Sec. 101(39)"
"2968196","174","CERCLA: Sec. 104(k)(6)"
"2968197","175","CERCLA: Sec. 128(a)"
"2968198","176","CERCLA: Sec. 311(b)(c)"
"2968199","177","CERCLA: Secs. 111(a)(5) & 311"
"2968200","178","CERCLA: Sec. 311(a)(b)(c)"
"2968201","179","CERCLA: Sec. 311(a)(d); SARA of 1986"
"2968202","18","Envrn. Prog. Asst. Act 1984 (PL 98-313)"
"2968203","180","CERCLA: Sec. 311(b); SARA of 1986"
"2968204","181","FIFRA: Sec. 20(a)"
"2968205","182","CERCLA: Sec. 104(d)(1)"
"2968206","183","CERCLA: Sec. 311(c)"
"2968207","185","Solid Waste Disposal Act of 1976, Sec. 2007(f)(2)"
"2968208","186","Beaches Environmental Assessment and Coastal Health Act of 2000, PL 106-284"
"2968209","187","Demonstration Cities and Metropolitan Development Act, Sec. 204"
"2968210","19","Economy Act of 1932  31 USC 1537"
"2968211","191","Department of the Interior, Environment, and Related Agencies Appropriations Act, 2006 (Public Law 109-54)"
"2968212","192","Section 6002 of SAFETEA-LU, 23 U.S.C. Section 139(j)"
"2968213","193",""
"2968214","194","CERCLA: Sec. 104(i)"
"2968215","196","Intergovernmental Personnel Act, 42 U.S.C. 4701"
"2968216","198","Pl -113-6 Consolidated and Further Continuing Appropriations Act, 2013"
